nome_aeroporto,icao_aerodromo,icao_empresa_aerea,razao_social,rotas_saida,rotas_chegada,total_pousos_decolagens
Guaraní International Airport,SGES,LTG,ABSA - AEROLINHAS BRASILEIRAS S.A.,1,2,58
"Copenhagen Airport, Kastrup",EKCH,SAS,,1,1,19
Zürich Airport,LSZH,SWR,,1,1,555
Comandante Gustavo Kraemer Airport,SBBG,OWT,,2,2,100
Rosario – Islas Malvinas International Airport,SAAR,ARG,,1,1,2
Rosario – Islas Malvinas International Airport,SAAR,SID,SIDERAL LINHAS AÉREAS LTDA.,1,1,2
Rosario – Islas Malvinas International Airport,SAAR,SID,SIDERAL LINHAS AÉREAS LTDA.,1,1,2
Auckland Airport,NZAA,LAN,,2,1,6
Quatro de Fevereiro Airport,FNLU,DTA,,1,1,40
Coronel Altino Machado de Oliveira Airport,SBGV,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,1008
Carajás Airport,SBCJ,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,3,3,926
Pattani Airport,VTSK,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),1,1,4
Pattani Airport,VTSK,OWT,,1,1,4
Incheon International Airport,RKSI,KAL,,1,1,272
Johan Adolf Pengel International Airport,SMJP,EDR,,2,1,69
Shenzhen Bao'an International Airport,ZGSZ,PUE,,1,1,2
Jomo Kenyatta International Airport,HKJK,PVV,,1,1,10
Vilhena Airport (Brigadeiro Camarão Airport),SBVH,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,296
Toussaint L'Ouverture International Airport,MTPP,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,3,88
Mallam Aminu Kano International Airport,DNKN,QTR,,1,1,3
Belo Horizonte/Pampulha – Carlos Drummond de Andrade Airport,SBBH,OWT,,4,3,13
Tangará da Serra Airport,SWTS,OWT,,3,3,361
Punta Cana International Airport,MDPC,GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),1,1,16
Austin–Bergstrom International Airport,KAUS,CLX,,1,1,2
Memphis International Airport,KMEM,FDX,,2,2,595
Santa Rosa Airport,SSZR,OWT,,2,1,54
José Martí International Airport,MUHA,CUB,,2,2,4
El Alto International Airport,SLLP,AZN,,2,3,5
Porto Seguro Airport,SBPS,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,18,18,3883
Alegrete Airport,SSLT,OWT,,2,2,62
Presidente Prudente Airport,SBDN,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,5,4,1794
Prof. Eribelto Manoel Reino State Airport,SBSR,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,10,8,2915
Bole International Airport,HAAB,ETH,,4,5,579
Leonardo da Vinci–Fiumicino Airport,LIRF,AZA,,4,4,65
Arturo Michelena International Airport,SVVA,KRE,,1,1,4
Caxias do Sul Airport (Hugo Cantergiani Regional Airport),SBCX,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,5,5,523
Plínio Alarcom Airport,SBTG,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,372
Humberto Ghizzo Bortoluzzi Regional Airport,SBJA,TAM,TAM LINHAS AÉREAS S.A.,2,2,432
Newark Liberty International Airport,KEWR,UAL,,1,1,665
Lauro Kurtz Airport,SBPF,GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),1,1,20
Montes Claros/Mário Ribeiro Airport,SBMK,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,1768
Viracopos/Campinas International Airport,SBKP,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,70,69,83423
Banjul International Airport,GBYD,RDA,,1,2,6
Una-Comandatuba Airport,SBTC,TAM,TAM LINHAS AÉREAS S.A.,2,2,122
Blaise Diagne International Airport,GOBD,THY,,2,2,280
Alenquer Airport,SDWQ,OWT,,1,1,36
Queen Beatrix International Airport,TNCA,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,4
Santa Maria Airport,SBSM,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,482
Ten. Cel. Av. César Bombonato Airport,SBUL,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,10,10,4820
Tocumen International Airport,MPTO,CMP,,6,6,3642
Guarapari Airport,SNGA,OWT,,1,1,60
Ministro Pistarini International Airport,SAEZ,ARG,,11,14,687
Brussels Airport (Zaventem Airport),EBBR,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,230
Val de Cans International Airport,SBBE,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,17,18,12009
Plácido de Castro International Airport,SBRB,GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),3,3,1150
Lisbon Portela Airport,LPPT,TAP,,10,10,3211
José María Córdova International Airport,SKRG,LTG,ABSA - AEROLINHAS BRASILEIRAS S.A.,5,1,170
Joinville-Lauro Carneiro de Loyola Airport,SBJV,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,1168
Châlons Vatry Airport,LFOK,QTR,,1,1,2
Augusto C. Sandino International Airport,MNMG,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,2
Porto Trombetas Airport,SBTB,OWT,,3,1,63
Altamira Airport,SBHT,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,620
Carrasco Gral. Cesáreo L. Berisso International Airport,SUMU,TAM,TAM LINHAS AÉREAS S.A.,2,2,325
Bom Futuro Municipal Airport[2],SILC,SUL,ASTA LINHAS AÉREAS LTDA ( EX - AMÉRICA DO SUL LINHAS AÉREAS LTDA.),3,3,14
Benedito Lacerda Airport,SBME,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,390
Murtala Muhammed International Airport,DNMM,ETH,,4,2,292
Parnaíba-Prefeito Dr. João Silva Filho International Airport,SBPB,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,3,3,196
Agadir–Al Massira Airport,GMAD,MEM,,1,1,2
Barreiras Airport,SNBR,PTB,PASSAREDO TRANSPORTES AÉREOS S.A.,2,2,705
Maastricht Aachen Airport,EHBK,QTR,,4,2,228
Juína Airport,SWJN,OWT,,4,5,517
Serafin Enoss Bertaso Airport,SBCH,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,9,9,1647
Rubem Berta International Airport,SBUG,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,344
Navegantes–Ministro Victor Konder International Airport,SBNF,GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),5,5,3415
Simón Bolívar International Airport,SVMI,TIW,,5,5,28
Sharjah International Airport,OMSJ,RSB,,2,1,5
Arthur Siqueira–Bragança Paulista State Airport,SBBP,OWT,,1,1,2
Itaituba Airport,SBIH,PAM,MAP TRANSPORTES AÉREOS LTDA.,2,2,524
Tancredo Neves International Airport (Confins Int'l Airport),SBCF,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,45,45,41939
Júlio Belém Airport,SWPI,PAM,MAP TRANSPORTES AÉREOS LTDA.,2,2,688
Hercílio Luz International Airport,SBFL,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,7,6,4939
Hercílio Luz International Airport,SBFL,TAM,TAM LINHAS AÉREAS S.A.,4,4,4939
Rio de Janeiro–Galeão International Airport,SBGL,GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),27,26,12739
Bertram Luiz Leupolz–Sorocaba Airport,SDCO,OWT,,1,1,5
Monseñor Óscar Arnulfo Romero International Airport,MSLP,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,2
O. R. Tambo International Airport,FAOR,PVV,,2,1,3
Amílcar Cabral International Airport,GVAC,LCO,,2,2,640
Oriximiná Airport,SNOX,OWT,,1,1,62
Hamad International Airport,OTHH,QTR,,11,11,1549
Governador Jorge Teixeira de Oliveira International Airport,SBPV,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,6,5,2512
Juazeiro do Norte Airport,SBJU,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,3,4,1496
Domingo Faustino Sarmiento Airport,SANU,GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),1,1,2
Jorge Wilstermann International Airport,SLCB,BOV,,3,2,37
